Cocktail Name,Ingredients,Preparation
155 Belmont,"Orange juice, Vodka, Light rum, Dark rum, ",Blend with ice. Serve in a wine glass. Garnish with carrot.
1-900-FUK-MEUP,"Pineapple juice, Cranberry juice, Amaretto, Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Grand Marnier, Absolut Kurant, ",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
110 in the shade,"Tequila, Lager, ",Drop shooter in glass. Fill with beer
151 Florida Bushwacker,"Vanilla ice-cream, Coconut liqueur, Milk, Cointreau, Dark Creme de Cacao, 151 proof rum, Light rum, Malibu rum, ",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
252,"Wild Turkey, 151 proof rum, ","Add both ingredients to shot glass, shoot, and get drunk quick"
24k nightmare,"151 proof rum, Rumple Minze, Jägermeister, Goldschlager, ","Add over ice,shake and pour."
3 Wise Men,"Jim Beam, Johnnie Walker, Jack Daniels, ",put them them in a glass... and slam it to tha head.
3-Mile Long Island Iced Tea,"Lemon, Bitters, Sweet and sour, Coca-Cola, Vodka, Triple sec, Tequila, Light rum, Gin, ",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
410 Gone,"Coca-Cola, Peach Vodka, ",
50/50,"Orange juice, Grand Marnier, Vanilla vodka, ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
501 Blue,"7-Up, Sour mix, Vodka, Blueberry schnapps, Blue Curacao, ",Mix equal amounts into a glass with ice.
69 Special,"Lemon juice, 7-Up, Gin, ","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
747,"Frangelico, Baileys irish cream, Kahlua, ","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
