Cocktail Name,Ingredients,Preparation
Apello,"Maraschino cherry, Apple juice, Grapefruit juice, Orange juice, ",Stirr. Grnish with maraschino cherry.
Afterglow,"Pineapple juice, Orange juice, Grenadine, ",Mix. Serve over ice.
Bora Bora,"Grenadine, Lemon juice, Passion fruit juice, Pineapple juice, ","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
Coke and Drops,"Lemon juice, Coca-Cola, ","Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass."
Chocolate Drink,"Water, Milk, Chocolate, ","Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug."
Cranberry Punch,"Ginger ale, Almond flavoring, Pineapple juice, Sugar, Cranberry juice, ","Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold."
Drinking Chocolate,"Whipped cream, Chocolate, Vanilla, Cinnamon, Milk, Heavy cream, ","Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug."
Egg Cream,"Soda water, Milk, Chocolate syrup, ","Mix syrup and milk in a fountain glass. Add soda water, serve with a straw."
Egg Nog #4,"Nutmeg, Sugar, Egg white, Whipping cream, Salt, Vanilla extract, Bourbon, Light rum, Milk, Sugar, Egg yolk, ","In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups."
Egg Nog - Healthy,"Nutmeg, Rum, Vanilla extract, Milk, Condensed milk, Sugar, Egg, ","Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings."
Egg-Nog - Classic Cooked,"Vanilla extract, Milk, Salt, Sugar, Egg, ","In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately."
Frappé,"Sugar, Milk, Coffee, ","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing."
Fruit Shake,"Ice, Fruit, Orange juice, Banana, Yoghurt, ",Blend til smooth.
Fruit Cooler,"Ice, Soda water, Apple, Lemon, Sugar, Strawberries, Apple juice, ","Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve."
Fruit Flip-Flop,"Fruit juice, Yoghurt, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
GG,"Ice, Ginger ale, Galliano, ",Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.
Gluehwein,"Lemon peel, Cloves, Cinnamon, Sugar, Water, Red wine, ","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
Holloween Punch,"Sherbet, Sherbet, Carbonated soft drink, Grape juice, ","Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine."
Hot Chocolate to Die for,"Marshmallows, Half-and-half, Vanilla extract, Butter, Chocolate, ","Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream."
Ipamena,"Ice, Ginger ale, Passion fruit juice, Brown sugar, Lime, ","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime"
